authorId,name,email,department,paperId
6391996,Evan Bolyen,"evan.bolyen@mccormick,fletcherandhancock.company.com",Blockchain Technology,133bcd7488a3c07cb0f493a87564c30e5433768c
6307534,J. Rideout,j..rideout@johnsonplc.company.com,Information Systems,133bcd7488a3c07cb0f493a87564c30e5433768c
40950692,Matthew R. Dillon,matthew.r..dillon@universityofsouthampton.university.com,Game Development,133bcd7488a3c07cb0f493a87564c30e5433768c
4230536,Nicholas A. Bokulich,nicholas.a..bokulich@princetonuniversity.university.com,Internet of Things,133bcd7488a3c07cb0f493a87564c30e5433768c
5538503,C. Abnet,c..abnet@universityofbritishcolumbia.university.com,Computational Biology,133bcd7488a3c07cb0f493a87564c30e5433768c
1402012502,Gabriel A. Al-Ghalith,gabriel.a..al-ghalith@diazandsons.company.com,Network Engineering,133bcd7488a3c07cb0f493a87564c30e5433768c
39168440,Harriet Alexander,"harriet.alexander@henry,barnesandtaylor.company.com",Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
1777308,E. Alm,e..alm@universityofeastanglia.university.com,Graphics and Visualization,133bcd7488a3c07cb0f493a87564c30e5433768c
144893958,Manimozhiyan Arumugam,manimozhiyan.arumugam@patrick-richards.company.com,Cybersecurity,133bcd7488a3c07cb0f493a87564c30e5433768c
3088847,F. Asnicar,f..asnicar@smithinc.company.com,Bioinformatics,133bcd7488a3c07cb0f493a87564c30e5433768c
2115297093,Yang Bai,yang.bai@mcknightandsons.company.com,Game Development,133bcd7488a3c07cb0f493a87564c30e5433768c
39497753,J. Bisanz,j..bisanz@universityofcopenhagen.university.com,Robotics,133bcd7488a3c07cb0f493a87564c30e5433768c
2027458,K. Bittinger,k..bittinger@garciainc.company.com,Computer Science,133bcd7488a3c07cb0f493a87564c30e5433768c
4347079,A. Brejnrod,a..brejnrod@londonschoolofeconomicsandpoliticalscience.university.com,Quantum Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
4373110,Colin J. Brislawn,colin.j..brislawn@universityofeastanglia.university.com,Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
2107517217,C. T. Brown,c..t..brown@universityofwesternaustralia.university.com,Systems Architecture,133bcd7488a3c07cb0f493a87564c30e5433768c
2923325,B. Callahan,"b..callahan@mercer,reedandholmes.company.com",Machine Learning,133bcd7488a3c07cb0f493a87564c30e5433768c
1401984320,A. Caraballo-Rodríguez,a..caraballo-rodríguez@princetonuniversity.university.com,Systems Architecture,133bcd7488a3c07cb0f493a87564c30e5433768c
4011830,John H. Chase,john.h..chase@universityofsurrey.university.com,Augmented Reality,133bcd7488a3c07cb0f493a87564c30e5433768c
36248090,Emily K. Cope,emily.k..cope@yaleuniversity.university.com,Data Science,133bcd7488a3c07cb0f493a87564c30e5433768c
39269675,R. D. da Silva,r..d..da.silva@middleton-silva.company.com,Graphics and Visualization,133bcd7488a3c07cb0f493a87564c30e5433768c
48958834,C. Diener,c..diener@payne-moyer.company.com,Blockchain Technology,133bcd7488a3c07cb0f493a87564c30e5433768c
2975900,P. Dorrestein,p..dorrestein@conner-vincent.company.com,Information Technology,133bcd7488a3c07cb0f493a87564c30e5433768c
144528092,G. Douglas,g..douglas@carrillo-hall.company.com,Big Data Analytics,133bcd7488a3c07cb0f493a87564c30e5433768c
5307931,D. Durall,d..durall@universityofalberta.university.com,Game Development,133bcd7488a3c07cb0f493a87564c30e5433768c
32381467,C. Duvallet,c..duvallet@universityofauckland.university.com,Network Engineering,133bcd7488a3c07cb0f493a87564c30e5433768c
31909725,C. Edwardson,c..edwardson@mccullough-spears.company.com,Computer Science,133bcd7488a3c07cb0f493a87564c30e5433768c
144110054,Madeleine Ernst,madeleine.ernst@jonesinc.company.com,Information Systems,133bcd7488a3c07cb0f493a87564c30e5433768c
6199292,M. Estaki,m..estaki@universitatlibredebrussels.university.com,Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
4324350,Jennifer T. Fouquier,jennifer.t..fouquier@peterson-martinez.company.com,Virtual Reality,133bcd7488a3c07cb0f493a87564c30e5433768c
147069795,J. Gauglitz,j..gauglitz@universityofcopenhagen.university.com,Quantum Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
6533031,S. Gibbons,s..gibbons@chaseplc.company.com,Cybersecurity,133bcd7488a3c07cb0f493a87564c30e5433768c
2252110423,D. Gibson,d..gibson@hansenandsons.company.com,Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
144359100,Antonio Gonzalez,antonio.gonzalez@davidson-ford.company.com,Systems Architecture,133bcd7488a3c07cb0f493a87564c30e5433768c
84717638,Kestrel Gorlick,kestrel.gorlick@diaz-swanson.company.com,Robotics,133bcd7488a3c07cb0f493a87564c30e5433768c
5409083,Jiarong Guo,jiarong.guo@fritz-li.company.com,Computer Science,133bcd7488a3c07cb0f493a87564c30e5433768c
32326419,Benjamin M Hillmann,"benjamin.m.hillmann@yates,edwardsandwiggins.company.com",Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
32750186,S. Holmes,s..holmes@queenmaryuniversityoflondon.university.com,Computer Engineering,133bcd7488a3c07cb0f493a87564c30e5433768c
51357334,H. Holste,h..holste@stevensonltd.company.com,Cloud Computing,133bcd7488a3c07cb0f493a87564c30e5433768c
2194791,C. Huttenhower,c..huttenhower@wilsonplc.company.com,Computer Engineering,133bcd7488a3c07cb0f493a87564c30e5433768c
2306305,G. Huttley,g..huttley@moore-meyers.company.com,Human-Computer Interaction,133bcd7488a3c07cb0f493a87564c30e5433768c
1938854376,Stefan Janssen,stefan.janssen@universityoftexasataustin.university.com,Graphics and Visualization,133bcd7488a3c07cb0f493a87564c30e5433768c
4376295,A. Jarmusch,a..jarmusch@pekinguniversity.university.com,Network Engineering,133bcd7488a3c07cb0f493a87564c30e5433768c
14215968,Lingjing Jiang,"lingjing.jiang@shah,jacobsonandburton.company.com",Computer Science,133bcd7488a3c07cb0f493a87564c30e5433768c
51396990,Benjamin D. Kaehler,benjamin.d..kaehler@johnshopkinsuniversity.university.com,Information Systems,133bcd7488a3c07cb0f493a87564c30e5433768c
144664874,K. Kang,"k..kang@prince,newtonandkim.company.com",Information Systems,133bcd7488a3c07cb0f493a87564c30e5433768c
